Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
136,PrimeHaxe,1,TayIorRobinson_Haxe_Python,3,5.10932,1,base,yes,,0.58716
137,PrimeSQL,2,fvbakel_MariaDB2,3,5.44700,1,other,no,32,0.55076
138,PrimeIDL,1,kriztioan_1bit,2,6.10600,1,base,yes,1,0.32755
139,PrimeBash,1,bash_inline,2,9.29433,1,base,no,,0.21518
140,PrimeBash,1,bash,1,7.65303,1,base,no,,0.13067
141,PrimeSQL,2,fvbakel_MariaDB1,1,8.36100,1,base,no,32,0.11960
142,PrimeLaTeX,1,tjol,2,18.36668,1,base,no,32,0.10889
143,PrimeProlog,1,jimbxb_prolog,1,11.06200,1,base,yes,1,0.09040
144,PrimeBash,1,bash_packed,1,15.43016,1,base,no,,0.06481
145,PrimeElixir,1,cdesch,1,22.17600,1,base,no,,0.04509
146,PrimePowerShell,1,crowbar27_ps1,1,81.23550,1,base,yes,1,0.01231
147,PrimeLua,1,lua,1,82.00000,1,base,no,64,0.01220
